ID,カテゴリー,サブカテゴリー,カテゴリID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,レディース,トップス,14,Tシャツ/カットソー(半袖/袖なし),Tシャツ/カットソー(七分/長袖),シャツ/ブラウス(半袖/袖なし),シャツ/ブラウス(七分/長袖),ポロシャツ,キャミソール,タンクトップ,ホルターネック,ニット/セーター,チュニック,カーディガン/ボレロ,アンサンブル,ベスト/ジレ,パーカー,トレーナー/スウェット,ベアトップ/チューブトップ,ジャージ,その他,,,,,,,,,,,
,,ジャケット/アウター,15,テーラードジャケット,ノーカラージャケット,Gジャン/デニムジャケット,レザージャケット,ダウンジャケット,ライダースジャケット,ミリタリージャケット,ダウンベスト,ジャンパー/ブルゾン,ポンチョ,ロングコート,トレンチコート,ダッフルコート,ピーコート,チェスターコート,モッズコート,スタジャン,毛皮/ファーコート,スプリングコート,スカジャン,その他,,,,,,,,
,,パンツ,16,デニム/ジーンズ,ショートパンツ,カジュアルパンツ,ハーフパンツ,チノパン,ワークパンツ/カーゴパンツ,クロップドパンツ,サロペット/オーバーオール,オールインワン,サルエルパンツ,ガウチョパンツ,その他,,,,,,,,,,,,,,,,,
,,スカート,17,ミニスカート,ひざ丈スカート,ロングスカート,キュロット,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,ワンピース,18,ミニワンピース,ひざ丈ワンピース,ロングワンピース,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,靴,19,ハイヒール/パンプス,ブーツ,サンダル,スニーカー,ミュール,モカシン,ローファー/革靴,フラットシューズ/バレエシューズ,長靴/レインシューズ,その他,,,,,,,,,,,,,,,,,,,
,,ルームウェア/パジャマ,20,パジャマ,ルームウェア,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,レッグウェア,21,ソックス,スパッツ/レギンス,ストッキング/タイツ,レッグウォーマー,その他,,,,,,,,,,,,,,,,,,,,,,,,
,,帽子,22,ニットキャップ/ビーニー,ハット,ハンチング/ベレー帽,キャップ,キャスケット,麦わら帽子,その他,,,,,,,,,,,,,,,,,,,,,,
,,バッグ,23,ハンドバッグ,トートバッグ,エコバッグ,リュック/バックパック,ボストンバッグ,スポーツバッグ,ショルダーバッグ,クラッチバッグ,ポーチ/バニティ,ボディバッグ/ウェストバッグ,マザーズバッグ,メッセンジャーバッグ,ビジネスバッグ,旅行用バッグ/キャリーバッグ,ショップ袋,和装用バッグ,かごバッグ,その他,,,,,,,,,,,
,,アクセサリー,24,ネックレス,ブレスレット,バングル/リストバンド,リング,ピアス(片耳用),ピアス(両耳用),イヤリング,アンクレット,ブローチ/コサージュ,チャーム,その他,,,,,,,,,,,,,,,,,,
,,ヘアアクセサリー,25,ヘアゴム/シュシュ,ヘアバンド/カチューシャ,ヘアピン,その他,,,,,,,,,,,,,,,,,,,,,,,,,
,,小物,26,長財布,折り財布,コインケース/小銭入れ,名刺入れ/定期入れ,キーケース,キーホルダー,手袋/アームカバー,ハンカチ,ベルト,マフラー/ショール,ストール/スヌード,バンダナ/スカーフ,ネックウォーマー,サスペンダー,サングラス/メガネ,モバイルケース/カバー,手帳,イヤマフラー,傘,レインコート/ポンチョ,ミラー,タバコグッズ,その他,,,,,,
,,時計,27,腕時計(アナログ),腕時計(デジタル),ラバーベルト,レザーベルト,金属ベルト,その他,,,,,,,,,,,,,,,,,,,,,,,
,,ウィッグ/エクステ,28,前髪ウィッグ,ロングストレート,ロングカール,ショートストレート,ショートカール,その他,,,,,,,,,,,,,,,,,,,,,,,
,,浴衣/水着,29,浴衣,着物,振袖,長襦袢/半襦袢,水着セパレート,水着ワンピース,水着スポーツ用,その他,,,,,,,,,,,,,,,,,,,,,
